FITSKeyword	DBKeyword	Source	MetadataDatatype	Units	DBDatatype	MetadataWidth	NullsAllowed	ValidateFormat	CheckValues	InputFormat	OutputFormat	SpecialIngest	MinValue	MaxValue	DiscreteValues	Metadata	UI	Calib	TAP_visible	TAP_principal	Description	Example	Notes
PRES2	PRES2	SCALES	double		FLOAT(126)	16	Y	Y	N		16.4f					Y		N	Y		Pressure sensor 2	0.481	
PRESUN1	PRESUN1	SCALES	char		VARCHAR2(16 BYTE)	16	Y	Y	N		16s					Y		N	Y		"Pressure sensor 1, units"	None	
PRESUN2	PRESUN2	SCALES	char		VARCHAR2(16 BYTE)	16	Y	Y	N		16s					Y		N	Y		"Pressure sensor 2, units"	None	
PTCELX	PTCELX	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		[K] Cu RS Port Elex Panel	76.49	
PTCH1	PTCH1	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		[K] 1st stage Cu CH1 port side	51.3	
PTCH2	PTCH2	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		"[K] 2nd stage coldhead, port side"	17.34	
PT_HTR	PT_HTR	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		"[K] Heater 2, Port side --> feeding PID control"	-9.90E+37	
RA	CRA	DCS	char		VARCHAR2(16 BYTE)	16	Y	Y	N	angle	16s	Y				Y					DCS RA	19:15.0	
RADECSYS	RADECSYS	SCALES	char		VARCHAR2(16 BYTE)	16	Y	Y	N		16s					Y		N	Y			None	
REXPTIME	REXPTIME	SCALES	double		FLOAT(126)	16	Y	Y	N		16.8f					Y		N	Y			30.292195555555555	
RS_AFT	RS_AFT	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		[K] RS Aft	80.64	
RS_BOW	RS_BOW	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		[K] Radiation shield port bow corner	73.41	
SBCH1	SBCH1	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		[K] 1st stage coldhead starboard	52.79	
SBCH2	SBCH2	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		[K] 2nd stage coldhead starboard	14	
SBCUEL	SBCUEL	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		[K] Copper Cooling strap to RS Elex panel	-9.90E+37	
SBG10	SBG10	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		[K] Starboard G10 bipod (cold)	80.16	
SBGTTR	SBGTTR	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		[K] 2nd stage getter	21.31	
SBHTR	SBHTR	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		"[K] Heater 1, Starboard"	81.55	
SB_EX	SB_EX	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		[K] Cu RS Starboard Electronics	83.3	
SLITLEN	SLITLEN	KOA	double	arcseconds	FLOAT(126)	32	Y	Y	N		18.8f					Y		N	Y		Slit length projected on sky (arcsec)		
SLITWIDT	SLITWIDT	KOA	double	arcseconds	FLOAT(126)	32	Y	Y	N		18.8f					Y	Y	N	Y		Slit width projected on sky (arcsec)		
SLNSM1	SLNSM1	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		[K] SLNS ORM1	78.41	
SMSFRM	SMSFRM	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		[K] SMSS Frame	78.21	
SMSMC	SMSMC	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		[K] SMSS motor cold clamp	79.13	
